cinema_id,user_id,show_id,seats_reserved,reservation_date,status
CINEMARK,610aec49-e7c4-47d3-8427-fcfe8a7cc9fc,e5c3df79-e403-4737-9830-6febfad124d8,1,2024-12-01T17:02:05.331117,CONFIRMED
CINEMARK,527fad24-c84f-4ebf-81ac-dbf2b719bace,df7813b5-5a1e-40b2-9b56-c5e569eb7d07,3,2024-12-01T17:19:18.776509,CANCELLED
CINEMARK,d2ababeb-2a8f-4f59-85e3-b2a3ad935f63,072d7c98-ad35-4a0a-a393-e68ed453b313,3,2024-12-01T17:02:51.238097,CANCELLED
CINEMARK,32152f43-5917-4971-9b46-b3a91af09f47,9a43789c-e253-4ca1-b0ed-fa6326675aab,5,2024-12-01T17:12:16.102671,CANCELLED
CINEMARK,3553f349-7fc5-4367-9eaa-1906ed5d5a2c,f49a4239-f1b7-4b6e-b0e3-5bd8274815fb,2,2024-12-01T17:13:09.502214,PENDING
CINEMARK,fcade452-096a-437d-9bbf-c209aaff962f,a35e19c9-e8dc-479f-9cdd-c02b56788ab8,3,2024-12-01T17:04:32.593835,CANCELLED
CINEMARK,837e6994-7eaf-42e5-a81d-abe28d2d94e3,2d64da57-59a5-486b-89a1-dacb9bb50627,4,2024-12-01T17:12:04.453951,PENDING
CINEMARK,10f701f5-c9f9-470f-a27e-7d7c3951af1b,d141c763-d9c2-40fa-ba01-b42e2a388e00,3,2024-12-01T17:18:23.874112,CANCELLED
CINEMARK,ddb901e4-275e-46b0-802a-f3f6f4b44b90,a216a41d-fe93-4c95-81c5-0160416ec185,3,2024-12-01T17:06:56.275206,CANCELLED
CINEMARK,0cade2b2-dca8-47f7-a617-befd8eb286be,b71b63ef-491f-4652-8cf7-5a08f74941a8,1,2024-12-01T16:56:17.133562,CANCELLED
CINEMARK,5cedc70b-cb8c-4f82-a266-885c1e6dee17,000703fd-7a2e-49a1-85ba-7ba9b34fc5e2,3,2024-12-01T17:18:36.224490,CANCELLED
CINEMARK,0e911219-0f4d-4b8e-864c-c5bac3b126f1,197deb7c-fb45-4e05-aae2-3b90bad77b5c,3,2024-12-01T17:07:18.818883,PENDING
CINEMARK,6b276b98-abfc-47a8-a213-253cce0d0762,6190884c-3ebf-4f50-8b9e-9ba2bb64a1e6,5,2024-12-01T17:03:17.942185,CONFIRMED
CINEMARK,3e75aca8-9ad9-46f2-a1fc-cd09ab4ba223,ebc262de-5cea-4879-834d-397c80251030,5,2024-12-01T17:06:08.793925,CANCELLED
